id,body part,target_area,name,equipment,level,description,gif_link
1,chest,Middle Chest,Flat Barbell Bench Press,Barbell,Intermediate,Classic compound press that builds mass in the mid chest.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_0.gif
2,chest,Upper Chest,Incline Barbell Bench Press,Barbell,Intermediate,Performed on a 30–45° bench to emphasize the upper fibers.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_1.gif
3,chest,Lower Chest,Decline Barbell Bench Press,Barbell,Intermediate,Barbell press on a decline bench to hit the lower pectorals.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_2.gif
4,chest,Upper Chest,Reverse-Grip Bench Press,Barbell,Advanced,Reverse grip shifts focus to the upper chest and reduces shoulder stress.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_3.gif
5,chest,Upper Chest,Guillotine Press (Neck Press),Barbell,Advanced,Bar is lowered toward the neck; high activation of upper pecs (requires caution).,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_4.gif
6,chest,Inner Chest,Close-Grip Bench Press,Barbell,Intermediate,Closer hand spacing targets inner chest and triceps.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_5.gif
7,chest,Middle Chest,Flat Dumbbell Press,Dumbbell,Intermediate,Free-weight version of bench press for balance and control.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_6.gif
8,chest,Upper Chest,Incline Dumbbell Press,Dumbbell,Intermediate,Focuses on the upper chest with more freedom of motion.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_7.gif
9,chest,Lower Chest,Decline Dumbbell Press,Dumbbell,Intermediate,Dumbbell version to isolate the lower chest fibers.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_8.gif
10,chest,Inner Chest,Dumbbell Fly,Dumbbell,Beginner,Isolation move focusing on the chest contraction at the top.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_9.gif
11,chest,Upper Chest,Incline Dumbbell Fly,Dumbbell,Beginner,Stretch and contract upper chest with dumbbells on an incline.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_10.gif
12,chest,Lower Chest,Decline Dumbbell Fly,Dumbbell,Beginner,Stretch lower pec fibers; excellent finisher.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_11.gif
13,chest,Inner Chest,Squeeze Press,Dumbbell,Intermediate,Press dumbbells together while lifting to emphasize inner pecs.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_12.gif
14,chest,Upper Chest,Pullover,Dumbbell,Intermediate,Expands rib cage and strengthens chest-lat connection.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_13.gif
15,chest,Lower Chest,Cable Crossover (High to Low),Cable,Intermediate,Pull cables from high to low to work lower pecs.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_14.gif
16,chest,Upper Chest,Cable Crossover (Low to High),Cable,Intermediate,Pull cables upward to engage upper chest.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_15.gif
17,chest,Middle Chest,Cable Fly (Mid-Level),Cable,Beginner,Pull cables horizontally to hit the central chest area.,https://res.cloudinary.com/dsdkaxbl3/image/upload/v1765554039/exercise_16.gif
